dates,confirmed,recovered,tested,other,deceased,vaccinated1,vaccinated2
2020-07-11,37,26,1483,0,0,0,0
2020-07-12,38,28,1538,0,0,0,0
2020-07-13,25,35,1514,0,0,0,0
2020-07-14,24,55,1503,0,0,0,0
2020-07-15,27,56,1418,0,0,0,0
2020-07-16,24,50,1375,0,0,0,0
2020-07-17,28,50,1375,0,0,0,0
2020-07-18,32,53,1356,0,0,0,0
2020-07-19,40,45,1457,1,0,0,0
2020-07-20,41,42,1692,1,0,0,0
2020-07-21,41,30,1758,1,0,0,0
2020-07-22,45,33,1982,1,0,0,0
2020-07-23,60,37,2083,1,0,0,0
2020-07-24,75,32,2322,1,0,0,0
2020-07-25,102,31,2294,1,0,0,0
2020-07-26,115,35,2145,0,0,0,0
2020-07-27,131,41,2247,0,1,0,0
2020-07-28,151,37,2283,0,1,0,0
2020-07-29,207,38,2174,0,2,0,0
2020-07-30,230,31,2305,0,3,0,0
2020-07-31,289,40,2295,0,5,0,0
2020-08-01,346,50,2343,0,7,0,0
2020-08-02,416,62,2531,0,8,0,0
2020-08-03,492,71,2486,-1,9,0,0
2020-08-04,565,81,2567,-1,11,0,0
2020-08-05,599,125,2609,-1,12,0,0
2020-08-06,653,154,2901,-1,13,0,0
2020-08-07,674,211,2877,-1,14,0,0
2020-08-08,715,274,2765,-1,13,0,0
2020-08-09,756,406,2523,-1,12,0,0
2020-08-10,795,446,2312,0,10,0,0
2020-08-11,836,472,1963,0,9,0,0
2020-08-12,873,503,1918,0,7,0,0
2020-08-13,914,569,1457,0,6,0,0
2020-08-14,964,607,1214,0,5,0,0
2020-08-15,955,628,1136,0,4,0,0
2020-08-16,909,578,1126,0,8,0,0
2020-08-17,820,616,1326,0,9,0,0
2020-08-18,765,672,1482,0,9,0,0
2020-08-19,704,700,1559,0,9,0,0
2020-08-20,643,714,1514,0,9,0,0
2020-08-21,561,712,1444,0,8,0,0
2020-08-22,502,725,1679,0,8,0,0
2020-08-23,461,737,2049,0,5,0,0
2020-08-24,459,767,1841,0,6,0,0
2020-08-25,416,810,2145,0,7,0,0
2020-08-26,381,780,2343,0,11,0,0
2020-08-27,338,736,2343,0,11,0,0
2020-08-28,303,700,2527,0,10,0,0
2020-08-29,273,666,2519,0,12,0,0
2020-08-30,244,623,2396,0,12,0,0
2020-08-31,228,555,2972,0,11,0,0
2020-09-01,215,483,4022,0,9,0,0
2020-09-02,201,449,4490,0,6,0,0
2020-09-03,205,449,5245,0,6,0,0
2020-09-04,207,419,5725,0,7,0,0
2020-09-05,211,385,6167,0,6,0,0
2020-09-06,228,365,6531,0,5,0,0
2020-09-07,227,350,6510,0,4,0,0
2020-09-08,232,321,5935,0,4,0,0
2020-09-09,240,320,5640,0,4,0,0
2020-09-10,242,298,5717,0,3,0,0
2020-09-11,237,294,5855,0,2,0,0
2020-09-12,229,298,5996,0,1,0,0
2020-09-13,214,292,6074,0,1,0,0
2020-09-14,198,281,5992,0,2,0,0
2020-09-15,182,283,5784,0,2,0,0
2020-09-16,167,267,6018,0,1,0,0
2020-09-17,139,257,6069,0,1,0,0
2020-09-18,137,257,6355,0,1,0,0
2020-09-19,123,234,6111,0,1,0,0
2020-09-20,105,208,5983,0,1,0,0
2020-09-21,116,191,6233,0,0,0,0
2020-09-22,117,161,6022,0,0,0,0
2020-09-23,119,149,5797,0,0,0,0
2020-09-24,140,125,4131,0,0,0,0
2020-09-25,128,114,5134,0,0,0,0
2020-09-26,130,115,5378,0,0,0,0
2020-09-27,143,102,5399,0,1,0,0
2020-09-28,130,113,5123,0,1,0,0
2020-09-29,130,108,5290,0,1,0,0
2020-09-30,123,114,5172,0,1,0,0
2020-10-01,104,120,6684,0,1,0,0
2020-10-02,99,103,5268,0,1,0,0
2020-10-03,94,91,5172,0,1,0,0
2020-10-04,90,96,5442,0,0,0,0
2020-10-05,96,77,5666,0,1,0,0
2020-10-06,91,91,5655,0,1,0,0
2020-10-07,100,88,6348,0,1,0,0
2020-10-08,104,84,6568,0,2,0,0
2020-10-09,118,93,6895,0,2,0,0
2020-10-10,124,102,7233,0,2,0,0
2020-10-11,121,115,7043,0,2,0,0
2020-10-12,124,111,6923,0,1,0,0
2020-10-13,124,104,6990,0,1,0,0
2020-10-14,111,100,6513,0,1,0,0
2020-10-15,110,110,6281,0,0,0,0
2020-10-16,96,107,6031,0,1,0,0
2020-10-17,91,104,5813,0,1,0,0
2020-10-18,103,104,5884,0,1,0,0
2020-10-19,103,122,6045,0,1,0,0
2020-10-20,105,120,6420,0,1,0,0
2020-10-21,122,117,6679,0,1,0,0
2020-10-22,122,120,6776,0,2,0,0
2020-10-23,135,114,7405,0,2,0,0
2020-10-24,142,120,7603,0,2,0,0
2020-10-25,137,115,7596,0,2,0,0
2020-10-26,127,105,7138,0,2,0,0
2020-10-27,133,117,7108,0,2,0,0
2020-10-28,121,126,7075,0,2,0,0
2020-10-29,121,117,7414,0,2,0,0
2020-10-30,110,131,7021,0,1,0,0
2020-10-31,107,132,6573,0,1,0,0
2020-11-01,95,129,6933,0,2,0,0
2020-11-02,99,135,7786,0,2,0,0
2020-11-03,98,134,7941,0,2,0,0
2020-11-04,100,124,8028,0,2,0,0
2020-11-05,98,121,7924,0,1,0,0
2020-11-06,103,118,8425,0,1,0,0
2020-11-07,109,106,9150,0,1,0,0
2020-11-08,110,109,9253,0,0,0,0
2020-11-09,111,107,9124,0,0,0,0
2020-11-10,105,102,8977,0,0,0,0
2020-11-11,105,104,9027,0,0,0,0
2020-11-12,104,107,8960,0,1,0,0
2020-11-13,98,110,8571,0,1,0,0
2020-11-14,86,109,8096,0,1,0,0
2020-11-15,86,109,7922,0,1,0,0
2020-11-16,94,107,8055,0,1,0,0
2020-11-17,97,108,8420,0,1,0,0
2020-11-18,99,111,8733,0,1,0,0
2020-11-19,97,116,9193,0,0,0,0
2020-11-20,99,104,9607,0,0,0,0
2020-11-21,104,113,10269,0,0,0,0
2020-11-22,105,110,10359,0,0,0,0
2020-11-23,99,107,10574,0,0,0,0
2020-11-24,93,101,10678,0,0,0,0
2020-11-25,84,101,10765,0,0,0,0
2020-11-26,78,93,10373,0,0,0,0
2020-11-27,72,100,10440,0,0,0,0
2020-11-28,67,90,10363,0,0,0,0
2020-11-29,63,97,10819,0,0,0,0
2020-11-30,54,97,10735,0,0,0,0
2020-12-01,51,102,10756,0,0,0,0
2020-12-02,46,104,10853,0,0,0,0
2020-12-03,47,106,11190,0,0,0,0
2020-12-04,53,103,11120,0,0,0,0
2020-12-05,49,98,11317,0,0,0,0
2020-12-06,54,87,11414,0,0,0,0
2020-12-07,63,81,11572,0,0,0,0
2020-12-08,60,81,11587,0,0,0,0
2020-12-09,60,64,11617,0,0,0,0
2020-12-10,62,55,11788,0,0,0,0
2020-12-11,56,48,11854,0,0,0,0
2020-12-12,58,49,12278,0,0,0,0
2020-12-13,60,49,12678,0,0,0,0
2020-12-14,61,50,12724,0,0,0,0
2020-12-15,64,41,12787,0,0,0,0
2020-12-16,67,51,12841,0,0,0,0
2020-12-17,69,55,12884,0,0,0,0
2020-12-18,71,53,13050,0,0,0,0
2020-12-19,70,54,12895,0,0,0,0
2020-12-20,63,59,13020,0,0,0,0
2020-12-21,54,59,13160,0,1,0,0
2020-12-22,51,61,13315,0,1,0,0
2020-12-23,46,63,13424,0,1,0,0
2020-12-24,41,68,13729,0,1,0,0
2020-12-25,43,69,13626,0,1,0,0
2020-12-26,37,70,12757,0,1,0,0
2020-12-27,43,66,11874,0,1,0,0
2020-12-28,41,63,11081,0,0,0,0
2020-12-29,43,62,10675,0,0,0,0
2020-12-30,45,59,9960,0,0,0,0
2020-12-31,44,51,8884,0,0,0,0
2021-01-01,34,49,8149,0,0,0,0
2021-01-02,35,48,8147,0,0,0,0
2021-01-03,24,48,8057,0,0,0,0
2021-01-04,19,45,8214,0,0,0,0
2021-01-05,13,45,7671,0,0,0,0
2021-01-06,8,39,7725,0,0,0,0
2021-01-07,13,38,8391,0,0,0,0
2021-01-08,13,36,8575,0,0,0,0
2021-01-09,12,36,8835,0,0,0,0
2021-01-10,12,29,8764,0,0,0,0
2021-01-11,15,36,9211,0,0,0,0
2021-01-12,17,30,9744,0,0,0,0
2021-01-13,20,32,10127,0,0,0,0
2021-01-14,18,27,9774,0,0,0,0
2021-01-15,20,29,9747,0,0,0,0
2021-01-16,23,22,9961,0,0,225,0
2021-01-17,23,21,10022,0,0,225,0
2021-01-18,25,13,10060,0,0,442,0
2021-01-19,23,11,9873,0,0,644,0
2021-01-20,22,9,9701,0,0,644,0
2021-01-21,15,13,9632,0,0,1032,0
2021-01-22,13,12,9809,0,0,1466,0
2021-01-23,11,12,9872,0,0,1773,0
2021-01-24,10,12,9726,0,0,1794,0
2021-01-25,6,20,9504,0,0,1927,0
2021-01-26,5,20,9126,0,0,1725,0
2021-01-27,3,22,8828,0,0,1741,0
2021-01-28,3,20,9192,0,0,1624,0
2021-01-29,2,20,9722,0,0,1261,0
2021-01-30,1,21,9483,0,0,729,0
2021-01-31,1,20,9670,0,0,708,0
2021-02-01,0,15,9937,0,0,358,0
2021-02-02,0,15,10726,0,0,358,0
2021-02-03,0,10,11283,0,0,387,0
2021-02-04,0,8,11504,0,0,282,0
2021-02-05,3,5,11149,0,0,434,0
2021-02-06,6,4,11721,0,0,434,0
2021-02-07,7,4,11935,0,0,670,0
2021-02-08,11,0,11791,0,0,670,0
2021-02-09,13,0,11755,0,0,686,0
2021-02-10,13,0,12072,0,0,641,0
2021-02-11,13,0,11700,0,0,516,0
2021-02-12,10,2,11998,0,0,293,0
2021-02-13,9,6,12148,0,0,485,0
2021-02-14,8,6,12217,0,0,249,0
2021-02-15,4,6,11919,0,0,450,182
2021-02-16,6,11,11698,0,0,434,182
2021-02-17,7,12,11412,0,0,632,182
2021-02-18,7,12,11885,0,0,893,495
2021-02-19,7,14,12044,0,0,999,895
2021-02-20,5,11,11468,0,0,1200,1306
2021-02-21,5,11,11484,0,0,1200,1306
2021-02-22,6,11,11762,0,0,1595,1688
2021-02-23,3,6,11682,0,0,1718,1836
2021-02-24,2,6,11316,0,0,1599,1936
2021-02-25,2,8,10651,0,0,1687,1890
2021-02-26,3,4,10177,0,0,1681,1527
2021-02-27,4,3,9996,0,0,1288,1116
2021-02-28,6,3,9726,0,0,1288,1116
2021-03-01,5,3,9475,0,0,1139,686
2021-03-02,4,3,9474,0,0,1347,571
2021-03-03,6,2,9920,0,0,1268,471
2021-03-04,8,1,10480,0,0,878,204
2021-03-05,7,2,10619,0,0,2258,305
2021-03-06,6,3,11228,0,0,2843,443
2021-03-07,4,3,11542,0,0,3053,443
2021-03-08,6,5,12156,0,0,3309,442
2021-03-09,8,6,12299,0,0,3521,448
2021-03-10,6,8,12077,0,0,3837,459
2021-03-11,4,7,11656,0,0,4316,471
2021-03-12,5,7,11726,0,0,3337,418
2021-03-13,6,9,11904,0,0,2944,417
2021-03-14,7,9,11801,0,0,2734,417
2021-03-15,5,9,12139,0,0,2470,488
2021-03-16,4,9,12335,0,0,2199,525
2021-03-17,7,7,12346,0,0,1883,514
2021-03-18,8,9,12543,0,0,1874,909
2021-03-19,9,8,12695,0,0,1788,844
2021-03-20,8,5,12225,0,0,1864,1065
2021-03-21,8,5,12549,0,0,1864,1065
2021-03-22,8,3,11684,0,0,1801,1343
2021-03-23,7,5,11428,0,0,2119,1439
2021-03-24,6,6,11379,0,0,2302,1506
2021-03-25,6,5,11567,0,0,2275,1326
2021-03-26,5,5,11486,0,0,2122,1363
2021-03-27,6,6,11743,0,0,2204,1025
2021-03-28,7,7,11427,0,0,2204,1025
2021-03-29,13,7,11359,0,0,1828,543
2021-03-30,42,4,11127,0,0,1729,607
2021-03-31,42,3,11052,0,0,1546,540
2021-04-01,42,6,10841,0,0,1831,371
2021-04-02,41,7,10623,0,0,2030,-154
2021-04-03,54,12,9898,0,0,2201,-130
2021-04-04,63,14,10008,0,0,2844,-129
2021-04-05,64,25,10133,0,0,3938,-82
2021-04-06,42,34,10355,0,0,5029,-267
2021-04-07,48,44,10617,0,0,6439,-258
2021-04-08,65,47,10663,0,0,8188,-263
2021-04-09,77,47,10670,0,0,10029,321
2021-04-10,77,51,11577,0,0,11687,328
2021-04-11,81,50,12007,0,0,13226,369
2021-04-12,85,49,12212,0,0,16645,423
2021-04-13,86,44,12820,0,0,21560,491
2021-04-14,116,58,12950,0,1,26738,591
2021-04-15,113,55,13366,0,1,29423,676
2021-04-16,128,82,13818,0,1,33713,804
2021-04-17,156,108,13955,0,2,37663,998
2021-04-18,200,160,14253,0,2,39298,1267
2021-04-19,220,162,14272,0,2,39150,1650
2021-04-20,257,189,13950,0,2,35920,2105
2021-04-21,243,198,14011,0,1,31244,2230
2021-04-22,265,227,13418,0,2,28558,2521
2021-04-23,280,248,13106,0,2,23790,2642
2021-04-24,283,264,11855,0,2,19270,2731
2021-04-25,275,267,10970,0,2,16508,2648
2021-04-26,295,308,10981,0,2,13568,2456
2021-04-27,298,319,11176,0,2,11482,2180
2021-04-28,326,330,10247,0,3,10493,2205
2021-04-29,348,334,10042,0,2,9040,1981
2021-04-30,380,343,10301,0,2,8292,1916
2021-05-01,432,363,10620,0,2,7240,1814
2021-05-02,419,331,9951,0,3,6261,1633
2021-05-03,434,330,9050,0,4,5309,1785
2021-05-04,417,317,7745,0,4,4468,1824
2021-05-05,407,322,7406,0,4,3920,2066
2021-05-06,380,315,6532,0,5,3600,2231
2021-05-07,362,329,5071,0,5,3209,2285
2021-05-08,295,283,4322,0,6,3152,2342
2021-05-09,283,290,3926,0,7,3158,2296
2021-05-10,248,275,3508,0,8,3230,2201
2021-05-11,245,270,3088,0,8,3276,2074
2021-05-12,247,247,2965,0,10,3250,1803
2021-05-13,255,255,2985,0,11,2811,1806
2021-05-14,231,195,2920,0,13,2135,1452
2021-05-15,227,211,2560,0,11,1882,1455
2021-05-16,236,195,2741,0,12,1801,1465
2021-05-17,240,204,2809,0,11,1685,1121
2021-05-18,248,210,2879,0,14,1577,914
2021-05-19,239,210,2793,0,14,1731,696
2021-05-20,248,188,2887,0,13,3198,531
2021-05-21,247,192,3128,0,13,3955,533
2021-05-22,252,174,3544,0,16,4518,242
2021-05-23,241,190,3591,0,15,4902,231
2021-05-24,215,166,3294,0,15,4924,226
2021-05-25,204,185,3332,0,14,5331,225
2021-05-26,192,188,3335,0,13,5637,213
2021-05-27,159,190,3179,0,13,4517,8
2021-05-28,147,213,3005,0,15,4509,11
2021-05-29,144,219,2924,0,12,4712,14
2021-05-30,140,210,2723,0,11,4569,14
2021-05-31,152,224,3217,0,11,4646,29
2021-06-01,140,201,3621,0,12,4692,32
2021-06-02,142,208,3683,0,11,4382,36
2021-06-03,153,229,3958,0,10,4454,41
2021-06-04,152,222,4132,0,8,4197,44
2021-06-05,141,216,4221,0,9,3647,56
2021-06-06,135,211,4586,0,8,3413,56
2021-06-07,126,193,4660,0,8,3392,69
2021-06-08,136,190,4747,0,7,3060,90
2021-06-09,125,171,5103,0,6,2882,97
2021-06-10,127,153,5206,0,6,3086,102
2021-06-11,145,132,5670,0,4,3331,113
2021-06-12,138,120,5839,0,4,3725,126
2021-06-13,142,131,5960,0,4,3719,126
2021-06-14,138,122,5917,0,3,4148,118
2021-06-15,126,114,5858,0,1,4658,114
2021-06-16,138,127,5878,0,2,5297,126
2021-06-17,138,131,5888,0,2,5343,142
2021-06-18,130,144,5389,0,2,5527,141
2021-06-19,151,166,5373,0,1,5510,149
2021-06-20,145,152,5235,0,1,5510,149
2021-06-21,146,157,5439,0,1,5332,152
2021-06-22,145,146,5663,0,1,7180,166
2021-06-23,132,131,5642,0,0,10119,178
2021-06-24,105,110,5617,0,0,14071,330
2021-06-25,78,117,5676,0,0,17930,386
2021-06-26,52,103,5532,0,0,22140,804
2021-06-27,49,89,5719,0,0,23821,809
2021-06-28,47,95,5591,0,1,26548,1915
2021-06-29,41,101,5596,0,1,28335,2986
2021-06-30,29,98,5396,0,1,27858,4232
2021-07-01,29,94,5544,0,1,23807,5426
2021-07-02,34,80,5555,0,1,20049,7041
2021-07-03,32,65,5832,0,1,15994,8472
2021-07-04,27,67,5828,0,1,14323,8867
2021-07-05,20,53,5946,0,0,11794,11831
2021-07-06,21,47,5854,0,0,8353,16546
2021-07-07,24,41,6175,0,0,5905,20706
2021-07-08,23,43,6074,0,0,5980,24158
2021-07-09,17,27,6156,0,0,5744,28786
2021-07-10,14,22,6189,0,1,6790,31747
2021-07-11,10,19,5971,0,1,7001,31543
2021-07-12,11,16,5991,0,1,8031,32903
2021-07-13,9,15,6042,0,1,12988,31169
2021-07-14,8,10,5875,0,1,14639,29141
2021-07-15,9,8,6061,0,1,15493,27124
2021-07-16,13,8,6312,0,1,15803,23280
2021-07-17,14,9,6718,0,0,14553,20679
2021-07-18,18,13,7224,0,0,14462,20589
2021-07-19,23,13,7554,0,0,13396,17373
2021-07-20,22,12,7643,0,0,9768,15285
2021-07-21,22,15,7799,0,0,7146,11924
2021-07-22,24,18,7539,0,0,8229,11178
2021-07-23,20,19,7576,0,0,10271,10283
2021-07-24,19,21,7359,0,0,12045,9278
2021-07-25,19,20,7085,0,0,12476,9253
2021-07-26,14,19,7218,0,0,13357,8342
2021-07-27,12,19,7489,0,0,13834,7324
2021-07-28,10,21,7562,0,0,17084,7963
2021-07-29,9,18,8041,0,0,16969,6565
2021-07-30,10,19,8153,0,0,15878,5629
2021-07-31,12,18,8243,0,0,16978,5085
2021-08-01,10,18,8467,0,0,16463,5075
2021-08-02,9,17,8263,0,0,15496,4273
2021-08-03,10,16,8598,0,0,13578,3725
2021-08-04,10,13,8686,0,0,11329,3607
2021-08-05,7,13,8883,0,0,9482,3336
2021-08-06,6,10,9243,0,0,8303,2980
2021-08-07,7,9,9338,0,0,5326,2689
2021-08-08,7,7,9352,0,0,5333,2639
2021-08-09,7,8,9395,0,0,5475,2444
2021-08-10,8,7,9096,0,0,5418,2458
2021-08-11,7,5,9114,0,0,6743,2330
2021-08-12,7,5,8908,0,0,10306,2428
2021-08-13,7,7,8648,0,0,13982,2662
2021-08-14,4,8,8673,0,0,17687,3036
2021-08-15,2,9,8488,0,0,17852,3033
2021-08-16,3,7,8834,0,0,18563,3213
2021-08-17,1,7,9383,0,0,18848,3288
2021-08-18,2,6,10401,0,0,17340,3766
2021-08-19,5,6,11288,0,0,12963,3305
2021-08-20,8,4,11876,0,0,9876,3152
2021-08-21,9,2,12644,0,0,5785,2868
2021-08-22,9,1,12900,0,0,5703,2867
2021-08-23,10,1,13244,0,0,7028,3462
2021-08-24,11,2,13511,0,0,8788,3735
2021-08-25,10,5,13467,0,0,10878,3770
2021-08-26,7,8,13393,0,0,13062,4199
2021-08-27,4,9,13545,0,0,13427,4351
2021-08-28,3,9,13344,0,0,13125,3855
2021-08-29,7,10,14141,0,0,15827,4679
2021-08-30,6,11,13981,0,0,14161,3766
2021-08-31,6,10,13824,0,0,12872,3730
2021-09-01,6,7,13678,0,0,11412,3348
2021-09-02,7,4,13627,0,0,10449,3520
2021-09-03,10,4,13228,0,0,9515,3504
2021-09-04,12,8,13186,0,0,10535,4214
2021-09-05,8,7,13035,0,0,7734,3388
2021-09-06,7,6,13342,0,0,7252,4184
2021-09-07,7,6,13494,0,0,6720,4313
2021-09-08,10,7,13381,0,0,6643,4583
2021-09-09,10,10,13602,0,0,6889,5113
2021-09-10,9,11,13890,0,0,7131,5288
2021-09-11,8,7,13914,0,0,7365,5812
2021-09-12,10,7,13708,0,0,9165,6167
2021-09-13,12,10,13151,0,0,10005,6010
2021-09-14,19,11,13502,0,0,10809,7021
2021-09-15,16,12,13882,0,0,13205,8530
2021-09-16,18,10,14122,0,0,12508,9915
2021-09-17,17,10,14627,0,0,15363,12496
2021-09-18,18,12,15277,0,0,15654,15761
2021-09-19,18,14,16141,0,0,14955,16987
2021-09-20,18,11,17372,0,0,13699,19618
2021-09-21,15,13,17337,0,0,12161,21826
2021-09-22,23,16,17274,0,0,8738,22962
2021-09-23,21,19,17298,0,0,8220,22491
2021-09-24,21,19,17367,0,0,4556,20903
2021-09-25,20,18,16913,0,0,3321,18247
2021-09-26,18,18,15880,0,0,2210,16715
2021-09-27,17,21,14539,0,0,2117,14768
2021-09-28,13,19,13561,0,0,1962,11699
2021-09-29,5,16,13048,0,0,1932,9691
2021-09-30,5,13,12576,0,0,1874,8684
2021-10-01,4,12,12249,0,0,1798,8078
2021-10-02,4,11,11976,0,0,1505,6294
2021-10-03,5,9,12041,0,0,1476,6240
2021-10-04,5,6,12042,0,0,1414,7375
2021-10-05,6,8,12379,0,0,1407,8560
2021-10-06,7,6,12484,0,0,1383,9429
2021-10-07,8,6,12280,0,0,1325,10223
2021-10-08,8,6,11610,0,0,1257,10783
2021-10-09,10,8,11517,0,0,1408,12319
2021-10-10,10,9,11333,0,0,1429,12400
2021-10-11,10,10,11400,0,0,1387,11157
2021-10-12,9,10,11268,0,0,1313,10758
2021-10-13,10,11,11082,0,0,1220,9139
2021-10-14,11,12,10865,0,0,1149,8810
2021-10-15,12,13,10839,0,0,970,7302
2021-10-16,9,11,10051,0,0,914,8140
2021-10-17,9,11,9989,0,0,894,8058
2021-10-18,8,11,9782,0,0,849,9389
2021-10-19,11,11,9650,0,0,799,9983
2021-10-20,9,11,9516,0,0,602,9406
2021-10-21,6,9,9474,0,0,600,11539
2021-10-22,5,8,9479,0,0,779,14291
2021-10-23,7,8,10236,0,0,791,14596
2021-10-24,6,8,10026,0,0,795,14711
2021-10-25,6,8,10158,0,0,819,14386
2021-10-26,2,6,9733,0,0,846,14079
2021-10-27,4,6,9434,0,0,975,15571
2021-10-28,5,6,9277,0,0,974,13524
2021-10-29,5,6,9157,0,0,916,12076
2021-10-30,3,7,8718,0,0,886,10751
2021-10-31,3,5,8936,0,0,884,10640
2020-03-12,1,0,0,0,0,0,0
2020-03-13,1,0,0,0,0,0,0
2020-03-14,1,0,0,0,0,0,0
2020-03-15,1,0,0,0,0,0,0
2020-03-16,1,0,0,0,0,0,0
2020-03-17,1,0,0,0,0,0,0
2020-03-18,1,0,0,0,0,0,0
2020-03-19,2,0,0,0,0,0,0
2020-03-20,2,0,0,0,0,0,0
2020-03-21,4,0,0,0,0,0,0
2020-03-22,5,0,0,0,0,0,0
2020-03-23,6,0,0,0,0,0,0
2020-03-24,7,0,0,0,0,0,0
2020-03-25,9,0,0,0,0,0,0
2020-03-26,8,0,0,0,0,0,0
2020-03-27,10,0,0,0,0,0,0
2020-03-28,14,0,0,0,0,0,0
2020-03-29,15,1,0,0,0,0,0
2020-03-30,16,1,0,0,0,0,0
2020-03-31,36,1,0,0,0,0,0
2020-04-01,101,2,0,0,0,0,0
2020-04-02,138,2,1800,0,0,0,0
2020-04-03,151,2,1800,0,1,0,0
2020-04-04,173,2,1800,0,1,0,0
2020-04-05,235,4,1800,0,1,0,0
2020-04-06,280,4,1800,0,3,0,0
2020-04-07,270,4,1800,0,4,0,0
2020-04-08,237,4,1800,0,4,0,0
2020-04-09,214,8,0,0,6,0,0
2020-04-10,217,8,4574,0,5,0,0
2020-04-11,213,8,5158,0,5,0,0
2020-04-12,164,7,5158,0,6,0,0
2020-04-13,136,7,6955,0,4,0,0
2020-04-14,170,11,8705,0,7,0,0
2020-04-15,177,14,9813,0,10,0,0
